Year,Region,Product Type,Sales Volume (KL),Revenue (Crores),Sales Growth %,Market Share %,Gross Margin %,Expansion Events
1948,Middle East,Industrial Coatings,15666,6466,11.46%,45.74%,24.52%,Technological advancement
1948,Middle East,Automotive Coatings,16297,9384,8.01%,13.42%,17.85%,Technological advancement
1948,Middle East,Protective Coatings,4588,1849,13.53%,24.76%,24.54%,Technological advancement
1948,Middle East,Powder Coatings,6831,6642,12.65%,16.32%,15.25%,Expansion
1948,Asia-Pacific,Decorative Paints,47872,1142,12.48%,12.63%,21.04%,New product line
1948,Asia-Pacific,Industrial Coatings,21023,119,8.97%,29.16%,20.66%,New product line
1948,Asia-Pacific,Automotive Coatings,32014,2031,12.37%,34.70%,20.77%,Technological advancement
1948,Asia-Pacific,Protective Coatings,14502,4241,12.22%,20.24%,17.27%,Technological advancement
1948,Asia-Pacific,Powder Coatings,17036,6771,10.09%,16.85%,17.04%,Market leader
1948,Africa,Decorative Paints,21222,292,10.43%,21.83%,18.67%,Major sales growth
1948,Africa,Industrial Coatings,30791,8413,6.29%,32.20%,15.24%,New product line
1948,Africa,Automotive Coatings,2354,9617,6.76%,34.62%,21.35%,Expansion
1948,Africa,Protective Coatings,6141,8024,14.13%,48.73%,15.76%,New product line
1948,Africa,Powder Coatings,35911,3450,14.25%,30.28%,21.96%,New product line
1948,Europe,Decorative Paints,6477,7146,8.81%,20.92%,23.94%,Market leader
1948,Europe,Industrial Coatings,14405,9401,9.78%,12.73%,20.50%,Major sales growth
1948,Europe,Automotive Coatings,39911,8116,13.47%,26.15%,15.13%,New product line
1948,Europe,Protective Coatings,9671,568,8.33%,45.88%,16.77%,Technological advancement
1948,Europe,Powder Coatings,13886,9247,11.94%,38.34%,18.38%,Expansion
1951,India,Decorative Paints,29078,580,12.20%,19.68%,20.00%,Technological advancement
1951,India,Industrial Coatings,30323,1651,10.83%,15.00%,17.06%,Major sales growth
1951,India,Automotive Coatings,2996,1212,6.39%,38.13%,22.90%,Technological advancement
1951,India,Protective Coatings,6427,7975,11.78%,28.77%,19.80%,Major sales growth
1951,India,Powder Coatings,11921,6059,13.74%,24.24%,23.26%,New product line
1951,Middle East,Decorative Paints,26495,6765,6.97%,24.05%,20.49%,Technological advancement
1951,Middle East,Industrial Coatings,12801,2969,13.81%,41.98%,15.44%,New product line
1951,Middle East,Automotive Coatings,35980,4763,14.32%,19.84%,17.99%,Expansion
1951,Middle East,Protective Coatings,46600,9425,13.83%,47.26%,23.75%,Major sales growth
1951,Middle East,Powder Coatings,10322,6804,6.85%,33.73%,20.85%,New product line
1951,Asia-Pacific,Decorative Paints,10306,1949,6.02%,37.59%,18.42%,Technological advancement
1951,Asia-Pacific,Industrial Coatings,14715,2038,14.16%,12.25%,24.81%,New product line
1951,Asia-Pacific,Automotive Coatings,42195,72,8.46%,28.71%,21.36%,Technological advancement
1951,Asia-Pacific,Protective Coatings,12363,7159,7.98%,24.53%,16.74%,Expansion
1951,Asia-Pacific,Powder Coatings,25115,8950,12.08%,45.85%,16.58%,Market leader
1951,Africa,Decorative Paints,35358,1451,12.25%,28.47%,16.08%,New product line
1951,Africa,Industrial Coatings,4023,1681,5.90%,26.25%,15.75%,Technological advancement
1951,Africa,Automotive Coatings,22062,9736,13.80%,39.14%,23.49%,New product line
1951,Africa,Protective Coatings,24228,1749,7.65%,43.92%,17.18%,Technological advancement
1951,Africa,Powder Coatings,46968,8602,12.87%,27.80%,23.21%,New product line
1951,Europe,Decorative Paints,31377,9797,14.44%,30.53%,21.41%,Technological advancement
1951,Europe,Industrial Coatings,4870,7758,6.40%,42.52%,17.26%,Market leader
1951,Europe,Automotive Coatings,47290,6796,8.09%,32.34%,18.15%,New product line
1951,Europe,Protective Coatings,39390,9842,13.71%,48.44%,17.22%,New product line
1951,Europe,Powder Coatings,17774,8679,11.06%,27.43%,16.59%,Market leader
1954,India,Decorative Paints,10606,8308,11.39%,29.52%,18.28%,New product line
1954,India,Industrial Coatings,19008,8743,6.07%,27.12%,15.47%,Expansion
1954,India,Automotive Coatings,6101,2068,13.53%,34.68%,19.88%,Major sales growth
1954,India,Protective Coatings,44701,4298,12.16%,30.42%,17.85%,New product line
1954,India,Powder Coatings,18989,965,13.33%,45.38%,21.69%,Technological advancement
1954,Middle East,Decorative Paints,2775,5306,8.53%,40.04%,20.77%,New product line
1954,Middle East,Industrial Coatings,29913,4577,12.14%,33.01%,17.22%,New product line
1954,Middle East,Automotive Coatings,46141,7295,10.48%,40.46%,20.91%,Market leader
1954,Middle East,Protective Coatings,27667,4199,9.65%,12.54%,16.59%,New product line
1954,Middle East,Powder Coatings,11595,2436,12.32%,30.88%,19.48%,Market leader
1954,Asia-Pacific,Decorative Paints,42330,9774,14.70%,34.97%,17.20%,Major sales growth
1954,Asia-Pacific,Industrial Coatings,26673,745,9.55%,28.36%,23.93%,Technological advancement
1954,Asia-Pacific,Automotive Coatings,19519,8342,7.24%,10.02%,18.60%,New product line
1954,Asia-Pacific,Protective Coatings,30803,2844,14.73%,27.39%,23.95%,Market leader
1954,Asia-Pacific,Powder Coatings,3998,4173,10.39%,37.86%,17.06%,Market leader
1954,Africa,Decorative Paints,42453,7882,6.01%,18.54%,20.97%,Technological advancement
1954,Africa,Industrial Coatings,47163,7463,7.82%,27.21%,21.29%,Market leader
1954,Africa,Automotive Coatings,36295,848,8.76%,37.45%,17.59%,Technological advancement
1954,Africa,Protective Coatings,32130,1713,11.64%,43.01%,22.56%,Technological advancement
1954,Africa,Powder Coatings,49945,502,10.05%,20.23%,21.21%,Technological advancement
1954,Europe,Decorative Paints,24297,9649,8.30%,19.38%,23.82%,Major sales growth
1954,Europe,Industrial Coatings,33636,7075,9.40%,29.98%,15.04%,Technological advancement
1954,Europe,Automotive Coatings,25633,3676,9.58%,23.97%,19.46%,Expansion
1954,Europe,Protective Coatings,20732,578,11.08%,41.62%,18.36%,Expansion
1954,Europe,Powder Coatings,40589,538,6.31%,13.85%,16.74%,New product line
1957,India,Decorative Paints,48287,4976,14.25%,42.18%,22.19%,Expansion
1957,India,Industrial Coatings,11522,5610,6.48%,14.21%,17.63%,New product line
1957,India,Automotive Coatings,34785,3108,12.06%,24.90%,20.60%,Market leader
1957,India,Protective Coatings,22651,2634,5.33%,15.20%,15.78%,Market leader
1957,India,Powder Coatings,45998,9751,14.80%,30.28%,22.72%,Technological advancement
1957,Middle East,Decorative Paints,15998,1149,5.81%,13.69%,15.28%,Major sales growth
1957,Middle East,Industrial Coatings,8040,8927,10.30%,40.10%,22.84%,Technological advancement
1957,Middle East,Automotive Coatings,10553,347,9.13%,37.91%,15.13%,Expansion
1957,Middle East,Protective Coatings,44881,4062,10.35%,35.48%,22.24%,Market leader
1957,Middle East,Powder Coatings,21461,842,14.97%,13.01%,21.06%,New product line
1957,Asia-Pacific,Decorative Paints,46965,2163,14.54%,41.55%,20.78%,Technological advancement
1957,Asia-Pacific,Industrial Coatings,5847,2715,12.27%,27.66%,18.93%,Technological advancement
1957,Asia-Pacific,Automotive Coatings,36221,7249,7.55%,48.23%,19.09%,Technological advancement
1957,Asia-Pacific,Protective Coatings,34694,3305,9.71%,23.15%,20.29%,Expansion
1957,Asia-Pacific,Powder Coatings,18943,7690,13.27%,13.81%,24.16%,Major sales growth
1957,Africa,Decorative Paints,15947,906,14.06%,37.12%,20.82%,Major sales growth
1957,Africa,Industrial Coatings,27195,964,14.04%,36.39%,18.46%,New product line
1957,Africa,Automotive Coatings,15094,3730,14.06%,36.42%,22.54%,Market leader
1957,Africa,Protective Coatings,19796,1752,8.87%,37.12%,23.58%,Market leader
1957,Africa,Powder Coatings,7811,780,14.82%,39.13%,22.22%,Major sales growth
1957,Europe,Decorative Paints,3726,3058,8.43%,33.45%,17.94%,Technological advancement
1957,Europe,Industrial Coatings,6988,8307,7.95%,17.12%,19.47%,Expansion
1957,Europe,Automotive Coatings,43074,7495,14.00%,16.32%,24.98%,Market leader
1957,Europe,Protective Coatings,40443,4663,8.74%,30.22%,18.90%,Expansion
1957,Europe,Powder Coatings,19949,3274,5.79%,40.24%,16.07%,Technological advancement
1960,India,Decorative Paints,34406,4549,13.26%,35.13%,22.26%,Market leader
1960,India,Industrial Coatings,10824,8855,14.36%,20.41%,22.52%,New product line
1960,India,Automotive Coatings,21419,5541,9.11%,49.59%,22.69%,Technological advancement
1960,India,Protective Coatings,32974,1728,6.06%,23.06%,21.76%,Technological advancement
1960,India,Powder Coatings,6366,685,13.77%,46.42%,23.23%,New product line
1960,Middle East,Decorative Paints,47584,3257,11.51%,34.27%,22.61%,New product line
1960,Middle East,Industrial Coatings,18201,8921,9.22%,41.83%,21.73%,New product line
1960,Middle East,Automotive Coatings,25495,8036,12.37%,48.94%,20.02%,Expansion
1960,Middle East,Protective Coatings,21165,8032,9.14%,32.87%,17.05%,New product line
1960,Middle East,Powder Coatings,27582,8379,13.62%,41.70%,19.02%,Market leader
1960,Asia-Pacific,Decorative Paints,6564,9161,9.13%,16.34%,15.22%,Major sales growth
1960,Asia-Pacific,Industrial Coatings,27134,8328,11.84%,42.15%,15.87%,Major sales growth
1960,Asia-Pacific,Automotive Coatings,16799,3999,13.02%,39.39%,20.91%,Expansion
1960,Asia-Pacific,Protective Coatings,7089,2772,13.76%,34.73%,22.51%,Market leader
1960,Asia-Pacific,Powder Coatings,5201,442,5.79%,29.25%,18.56%,Expansion
1960,Africa,Decorative Paints,49446,2856,13.20%,27.42%,15.35%,Technological advancement
1960,Africa,Industrial Coatings,16806,6817,7.31%,35.81%,17.70%,Market leader
1960,Africa,Automotive Coatings,27344,7186,13.27%,47.91%,15.10%,New product line
1960,Africa,Protective Coatings,17377,5061,6.75%,45.64%,19.28%,Expansion
1960,Africa,Powder Coatings,35281,7933,6.29%,17.01%,24.68%,Technological advancement
1960,Europe,Decorative Paints,14453,5836,10.71%,36.13%,18.61%,New product line
1960,Europe,Industrial Coatings,28264,173,8.25%,17.21%,16.89%,New product line
1960,Europe,Automotive Coatings,18344,4274,9.04%,49.58%,23.39%,New product line
1960,Europe,Protective Coatings,29501,6746,11.77%,44.37%,18.74%,Technological advancement
1960,Europe,Powder Coatings,23300,4215,13.49%,17.84%,20.15%,New product line
1963,India,Decorative Paints,13887,5782,7.21%,22.28%,23.06%,Market leader
1963,India,Industrial Coatings,20701,3311,11.66%,21.26%,23.88%,Expansion
1963,India,Automotive Coatings,32922,6486,5.97%,17.46%,16.05%,Market leader
1963,India,Protective Coatings,41523,906,7.02%,24.80%,20.17%,New product line
1963,India,Powder Coatings,3495,8602,12.71%,43.38%,20.28%,Market leader
1963,Middle East,Decorative Paints,33477,1339,10.62%,44.76%,18.39%,Market leader
1963,Middle East,Industrial Coatings,45517,6508,7.50%,31.93%,19.14%,Technological advancement
1963,Middle East,Automotive Coatings,5360,9715,14.41%,19.18%,24.97%,Major sales growth
1963,Middle East,Protective Coatings,39674,6936,13.66%,18.90%,22.98%,Expansion
1963,Middle East,Powder Coatings,7459,5355,12.19%,36.14%,18.73%,Expansion
1963,Asia-Pacific,Decorative Paints,49943,1024,12.21%,45.76%,15.34%,New product line
1963,Asia-Pacific,Industrial Coatings,28641,6338,11.84%,18.30%,22.62%,Market leader
1963,Asia-Pacific,Automotive Coatings,38667,9358,5.02%,29.10%,16.52%,Expansion
1963,Asia-Pacific,Protective Coatings,5416,1095,14.32%,16.27%,18.08%,Market leader
1963,Asia-Pacific,Powder Coatings,37185,258,10.82%,41.96%,22.33%,Technological advancement
1963,Africa,Decorative Paints,35990,9901,11.12%,15.97%,20.58%,Expansion
1963,Africa,Industrial Coatings,9528,3254,5.98%,16.19%,18.69%,Major sales growth
1963,Africa,Automotive Coatings,31580,2332,7.17%,23.84%,16.57%,Market leader
1963,Africa,Protective Coatings,8152,4228,14.32%,14.08%,20.78%,Expansion
1963,Africa,Powder Coatings,40120,7688,8.92%,36.47%,24.12%,Expansion
1963,Europe,Decorative Paints,4394,5473,13.60%,30.90%,19.42%,Technological advancement
1963,Europe,Industrial Coatings,26838,1997,12.53%,16.50%,18.03%,Market leader
1963,Europe,Automotive Coatings,48680,7578,14.61%,32.48%,17.19%,New product line
1963,Europe,Protective Coatings,30765,6943,10.41%,24.33%,18.86%,New product line
1963,Europe,Powder Coatings,32393,7245,11.13%,40.60%,21.55%,New product line
1966,India,Decorative Paints,49864,1249,8.15%,47.10%,24.23%,New product line
1966,India,Industrial Coatings,18628,2808,6.31%,47.73%,19.11%,Major sales growth
1966,India,Automotive Coatings,6848,6488,6.88%,24.09%,19.54%,Expansion
1966,India,Protective Coatings,18454,1708,11.60%,18.08%,22.96%,Market leader
1966,India,Powder Coatings,32418,5560,13.20%,38.62%,22.42%,Major sales growth
1966,Middle East,Decorative Paints,44744,6830,13.87%,18.36%,24.84%,Technological advancement
1966,Middle East,Industrial Coatings,23694,9195,14.77%,33.21%,21.58%,Technological advancement
1966,Middle East,Automotive Coatings,34013,4259,9.25%,16.20%,19.65%,Major sales growth
1966,Middle East,Protective Coatings,9842,7243,7.19%,47.16%,18.07%,New product line
1966,Middle East,Powder Coatings,22894,8054,5.72%,31.98%,17.01%,Market leader
1966,Asia-Pacific,Decorative Paints,24687,252,11.16%,17.19%,17.31%,New product line
1966,Asia-Pacific,Industrial Coatings,11659,5919,14.02%,39.63%,23.70%,Technological advancement
1966,Asia-Pacific,Automotive Coatings,44993,8822,13.87%,39.83%,24.95%,Market leader
1966,Asia-Pacific,Protective Coatings,12385,2329,8.85%,20.84%,19.81%,New product line
1966,Asia-Pacific,Powder Coatings,27861,5252,9.09%,27.84%,21.18%,Major sales growth
1966,Africa,Decorative Paints,47234,1026,9.52%,46.94%,18.48%,Major sales growth
1966,Africa,Industrial Coatings,34620,4921,11.15%,43.33%,23.94%,Expansion
1966,Africa,Automotive Coatings,29135,8320,7.80%,38.75%,17.68%,Expansion
1966,Africa,Protective Coatings,22613,3792,10.30%,31.49%,20.31%,New product line
1966,Africa,Powder Coatings,35958,683,8.43%,27.93%,17.95%,Technological advancement
1966,Europe,Decorative Paints,40042,183,8.76%,20.60%,21.76%,Market leader
1966,Europe,Industrial Coatings,37456,5993,10.08%,24.78%,23.03%,Market leader
1966,Europe,Automotive Coatings,45828,4196,7.07%,30.33%,23.81%,Expansion
1966,Europe,Protective Coatings,10886,2224,12.49%,12.29%,21.73%,New product line
1966,Europe,Powder Coatings,11418,4084,6.96%,49.94%,15.29%,Expansion
1969,India,Decorative Paints,17132,7256,7.43%,29.40%,15.70%,Expansion
1969,India,Industrial Coatings,37954,3235,13.41%,16.80%,16.45%,New product line
1969,India,Automotive Coatings,41523,6166,13.56%,10.03%,16.44%,New product line
1969,India,Protective Coatings,2775,7261,13.97%,26.72%,19.26%,New product line
1969,India,Powder Coatings,40975,626,11.58%,19.09%,19.89%,New product line
1969,Middle East,Decorative Paints,27913,1390,13.18%,44.40%,20.13%,Major sales growth
1969,Middle East,Industrial Coatings,29662,1162,13.91%,46.81%,16.44%,Expansion
1969,Middle East,Automotive Coatings,45182,2967,10.48%,29.13%,23.89%,Technological advancement
1969,Middle East,Protective Coatings,609,4717,5.70%,13.71%,18.48%,Major sales growth
1969,Middle East,Powder Coatings,16078,1472,13.30%,45.15%,15.61%,New product line
1969,Asia-Pacific,Decorative Paints,24661,5494,6.41%,33.71%,22.85%,Expansion
1969,Asia-Pacific,Industrial Coatings,5159,4022,7.26%,36.51%,22.89%,Expansion
1969,Asia-Pacific,Automotive Coatings,18792,1380,12.52%,49.51%,23.94%,Expansion
1969,Asia-Pacific,Protective Coatings,20162,5841,8.49%,38.15%,15.58%,New product line
1969,Asia-Pacific,Powder Coatings,44886,9737,14.03%,47.29%,21.82%,New product line
1969,Africa,Decorative Paints,22141,4962,10.11%,41.38%,20.65%,Major sales growth
1969,Africa,Industrial Coatings,9475,8250,9.22%,35.95%,21.06%,Major sales growth
1969,Africa,Automotive Coatings,33966,7412,5.64%,17.23%,20.08%,Market leader
1969,Africa,Protective Coatings,9283,7907,14.88%,38.46%,18.58%,Major sales growth
1969,Africa,Powder Coatings,35161,7396,6.65%,29.87%,18.18%,New product line
1969,Europe,Decorative Paints,8384,337,8.72%,46.48%,23.15%,Major sales growth
1969,Europe,Industrial Coatings,49472,6533,12.86%,27.20%,22.29%,New product line
1969,Europe,Automotive Coatings,36832,6662,10.40%,39.98%,23.01%,New product line
1969,Europe,Protective Coatings,30514,4348,14.26%,11.08%,23.34%,Expansion
1969,Europe,Powder Coatings,40005,9458,9.51%,15.24%,23.53%,Technological advancement
1972,India,Decorative Paints,24200,6190,9.67%,13.97%,17.68%,Major sales growth
1972,India,Industrial Coatings,45705,4919,9.70%,27.60%,24.39%,Expansion
1972,India,Automotive Coatings,12233,8654,14.35%,22.96%,19.28%,Major sales growth
1972,India,Protective Coatings,4646,1649,10.69%,18.32%,19.96%,Market leader
1972,India,Powder Coatings,33510,5871,12.41%,29.56%,21.08%,Technological advancement
1972,Middle East,Decorative Paints,34647,3294,10.59%,45.42%,18.63%,Major sales growth
1972,Middle East,Industrial Coatings,20881,4699,11.94%,41.78%,19.31%,Major sales growth
1972,Middle East,Automotive Coatings,29795,208,12.26%,16.40%,17.11%,Major sales growth
1972,Middle East,Protective Coatings,48684,8694,6.62%,33.09%,15.83%,Expansion
1972,Middle East,Powder Coatings,30524,6099,6.08%,10.71%,18.26%,Market leader
1972,Asia-Pacific,Decorative Paints,6893,7119,7.35%,48.73%,22.23%,Major sales growth
1972,Asia-Pacific,Industrial Coatings,46369,8754,9.07%,45.90%,21.68%,Expansion
1972,Asia-Pacific,Automotive Coatings,32686,9314,11.28%,38.72%,17.68%,Market leader
1972,Asia-Pacific,Protective Coatings,15258,1686,9.61%,36.26%,20.17%,Expansion
1972,Asia-Pacific,Powder Coatings,37092,6401,13.89%,33.12%,15.44%,Major sales growth
1972,Africa,Decorative Paints,37716,257,10.65%,39.88%,19.54%,New product line
1972,Africa,Industrial Coatings,15665,9884,10.44%,46.83%,15.66%,Technological advancement
1972,Africa,Automotive Coatings,14192,5403,13.96%,19.71%,18.08%,Major sales growth
1972,Africa,Protective Coatings,36221,7919,12.12%,19.45%,24.10%,New product line
1972,Africa,Powder Coatings,35801,3600,5.07%,33.65%,21.16%,Expansion
1972,Europe,Decorative Paints,49755,3053,6.20%,41.49%,19.86%,Market leader
1972,Europe,Industrial Coatings,13892,808,8.90%,29.02%,21.56%,New product line
1972,Europe,Automotive Coatings,28302,2123,11.38%,32.32%,23.30%,Expansion
1972,Europe,Protective Coatings,35767,9417,5.63%,22.58%,20.02%,Expansion
1972,Europe,Powder Coatings,31824,3417,12.54%,14.19%,21.48%,Expansion
1975,India,Decorative Paints,42508,3241,5.47%,48.48%,15.06%,Market leader
1975,India,Industrial Coatings,24095,2561,6.84%,27.09%,22.90%,New product line
1975,India,Automotive Coatings,15732,8395,12.21%,49.32%,20.25%,Technological advancement
1975,India,Protective Coatings,33271,8494,12.24%,49.20%,20.93%,Major sales growth
1975,India,Powder Coatings,32198,8660,5.48%,38.24%,20.94%,Expansion
1975,Middle East,Decorative Paints,37577,7835,8.28%,20.34%,18.97%,New product line
1975,Middle East,Industrial Coatings,2885,6873,8.24%,46.67%,22.34%,Market leader
1975,Middle East,Automotive Coatings,42560,1539,5.12%,15.93%,17.92%,Major sales growth
1975,Middle East,Protective Coatings,25765,6673,13.50%,37.49%,15.95%,New product line
1975,Middle East,Powder Coatings,2561,8197,7.93%,18.19%,24.34%,New product line
1975,Asia-Pacific,Decorative Paints,26943,5442,11.50%,38.41%,22.19%,New product line
1975,Asia-Pacific,Industrial Coatings,34078,4309,6.31%,19.37%,19.77%,Major sales growth
1975,Asia-Pacific,Automotive Coatings,7619,3312,12.48%,35.39%,23.85%,Expansion
1975,Asia-Pacific,Protective Coatings,20436,864,13.42%,22.71%,21.10%,Major sales growth
1975,Asia-Pacific,Powder Coatings,43840,1655,9.13%,33.90%,22.29%,Expansion
1975,Africa,Decorative Paints,38666,5948,7.50%,44.61%,15.33%,Expansion
1975,Africa,Industrial Coatings,41946,9545,7.80%,35.21%,17.33%,Expansion
1975,Africa,Automotive Coatings,20837,3666,9.08%,38.00%,21.43%,Market leader
1975,Africa,Protective Coatings,13991,8856,6.01%,17.26%,23.16%,New product line
1975,Africa,Powder Coatings,4652,8306,13.45%,49.46%,16.62%,New product line
1975,Europe,Decorative Paints,31969,4657,5.98%,34.28%,21.04%,Market leader
1975,Europe,Industrial Coatings,20894,3541,12.90%,25.44%,19.73%,Technological advancement
1975,Europe,Automotive Coatings,29375,5618,10.50%,24.28%,22.92%,Major sales growth
1975,Europe,Protective Coatings,22937,3226,13.48%,15.29%,21.27%,Market leader
1975,Europe,Powder Coatings,7942,1600,13.94%,20.60%,23.06%,Expansion
1978,India,Decorative Paints,9678,6090,5.81%,12.53%,18.30%,Major sales growth
1978,India,Industrial Coatings,9999,8286,13.02%,32.77%,23.60%,Market leader
1978,India,Automotive Coatings,5969,4666,7.24%,31.47%,24.34%,Major sales growth
1978,India,Protective Coatings,2580,4143,8.78%,48.11%,18.63%,New product line
1978,India,Powder Coatings,30297,8323,12.75%,34.47%,21.67%,Expansion
1978,Middle East,Decorative Paints,48939,9750,12.60%,45.34%,21.27%,Market leader
1978,Middle East,Industrial Coatings,39360,1970,12.89%,22.94%,15.89%,Technological advancement
1978,Middle East,Automotive Coatings,47067,91,11.35%,46.12%,17.29%,Major sales growth
1978,Middle East,Protective Coatings,20018,3284,14.69%,21.01%,21.38%,New product line
1978,Middle East,Powder Coatings,9176,8114,13.62%,42.48%,19.38%,New product line
1978,Asia-Pacific,Decorative Paints,41776,9123,9.84%,23.87%,15.93%,New product line
1978,Asia-Pacific,Industrial Coatings,14019,3033,9.57%,23.36%,15.49%,Technological advancement
1978,Asia-Pacific,Automotive Coatings,10861,654,9.76%,44.41%,24.59%,Expansion
1978,Asia-Pacific,Protective Coatings,23870,4062,14.29%,23.29%,23.53%,Technological advancement
1978,Asia-Pacific,Powder Coatings,49941,3577,6.86%,21.43%,19.50%,Market leader
1978,Africa,Decorative Paints,41580,7974,12.20%,42.62%,24.88%,Market leader
1978,Africa,Industrial Coatings,6450,4786,13.72%,20.04%,17.61%,Expansion
1978,Africa,Automotive Coatings,2892,8272,11.42%,19.54%,20.85%,Market leader
1978,Africa,Protective Coatings,11104,1689,8.24%,19.43%,16.87%,Expansion
1978,Africa,Powder Coatings,25421,8139,11.74%,24.04%,19.87%,Major sales growth
1978,Europe,Decorative Paints,11206,6957,11.07%,15.82%,18.40%,New product line
1978,Europe,Industrial Coatings,29351,8576,12.40%,28.29%,18.11%,Expansion
1978,Europe,Automotive Coatings,15895,6471,9.03%,10.43%,18.59%,Major sales growth
1978,Europe,Protective Coatings,33715,8924,9.63%,29.55%,21.19%,Technological advancement
1978,Europe,Powder Coatings,21002,83,14.80%,43.19%,20.38%,Expansion
1981,India,Decorative Paints,16653,344,8.34%,16.03%,22.80%,Technological advancement
